#{"t_start": 1747305980.5042236, "env_id": "CustomHopper-source-v0"}
r,l,t
220.137787,95,35.415524
266.175733,112,35.469091
242.559468,103,35.524263
206.869805,90,35.571366
205.541371,89,35.61358
313.282599,125,37.69506
250.1068,98,37.746529
254.348427,110,37.812887
288.491314,117,37.883408
267.620438,110,37.940472
235.019235,101,37.984918
210.188103,92,38.027229
269.169673,113,38.077758
223.795938,103,38.124451
236.156341,107,38.173141
217.163373,94,38.222158
229.009856,97,38.272957
246.743566,104,38.333092
205.524592,88,38.415011
220.739147,95,38.475243
278.427748,113,38.547299
215.072842,92,38.601389
299.33938,121,38.663926
261.839199,107,38.718801
315.919639,119,40.783096
269.506377,114,40.833055
269.581415,113,40.893566
300.334864,118,40.953478
245.870639,101,41.009634
260.514045,109,41.062888
255.089832,113,41.120111
286.63446,120,41.175432
313.813811,123,41.234658
214.034465,92,41.276875
245.143252,100,41.328353
239.700991,113,41.38233
286.429421,117,41.453328
258.460866,102,41.497961
264.893468,114,41.561467
226.973229,94,41.610168
319.641164,127,41.671753
297.827756,117,41.724782
321.144916,121,41.792986
356.357032,129,43.793248
283.789551,112,43.844009
321.61543,127,43.902513
207.670908,88,43.946806
324.514504,128,44.025845
284.811896,117,44.090278
289.477089,116,44.151327
320.737002,122,44.216569
310.245809,124,44.276574
334.430477,123,44.335138
259.614626,111,44.392368
215.300489,93,44.438927
298.240624,120,44.495581
385.762718,156,44.603481
299.618249,119,44.676703
336.670482,125,44.758145
225.750029,95,44.823164
300.02635,116,46.646122
282.447325,115,46.70274
266.166157,106,46.757843
298.752436,118,46.823969
248.399612,101,46.870871
268.434266,119,46.931192
353.562957,132,47.012533
308.346212,123,47.073552
329.921281,126,47.133622
297.533308,122,47.190012
296.911688,118,47.244867
334.095832,128,47.310912
339.093037,125,47.370121
226.738129,101,47.422619
254.034539,106,47.473174
307.378649,126,47.539613
327.509084,119,47.596508
337.289025,133,49.471362
337.434827,122,49.527335
343.420202,132,49.589228
310.703345,124,49.650132
295.51065,124,49.711921
300.521587,128,49.798929
304.840795,126,49.861402
339.445933,132,49.929503
349.804397,136,49.99711
348.179698,137,50.06594
332.830664,127,50.12911
330.805834,123,50.21069
343.57701,134,50.279964
330.178153,131,50.351041
300.123664,119,50.432729
376.855287,144,50.507447
351.165344,135,52.764411
330.048534,126,52.829394
329.450166,129,52.8999
374.999881,137,52.97826
239.58916,109,53.03634
312.729912,127,53.10534
301.752482,120,53.169852
276.25892,115,53.230431
342.074233,129,53.301799
331.906541,128,53.368438
330.195032,124,53.426166
322.435558,127,53.486307
316.047368,122,53.541435
396.29092,154,53.620095
317.734735,114,53.674858
325.456668,124,53.735803
321.178203,124,55.604808
338.783748,135,55.672947
352.32632,133,55.732506
347.850985,130,55.793581
339.713814,133,55.858816
360.371092,136,55.933805
317.272852,129,55.996404
344.614469,130,56.057125
342.253337,137,56.126077
331.638624,130,56.196729
355.077333,138,56.26494
330.756145,130,56.329498
524.608593,203,56.435172
352.293205,139,56.505587
361.86011,148,56.608867
463.183587,162,58.574277
320.394367,129,58.649519
317.742651,121,58.720844
483.331249,171,58.822203
374.634675,138,58.890132
351.494398,136,58.978543
439.394924,158,59.069142
348.641526,128,59.140945
211.866698,91,59.187233
372.324424,139,59.259282
380.577508,138,59.328204
395.805117,148,59.402549
206.616446,90,59.448828
374.436434,137,59.521941
238.293577,98,59.570878
232.167004,99,59.622435
355.166932,137,61.55075
224.377589,95,61.625839
349.004536,136,61.695045
352.40603,138,61.762449
327.769088,133,61.829159
348.79313,130,61.89657
218.989797,93,61.940966
336.867148,132,62.00723
323.832756,128,62.069085
499.771571,175,62.179578
222.128947,98,62.248977
351.065999,130,62.330836
400.370333,143,62.415177
344.845464,129,62.49936
381.824785,141,62.59175
553.164595,191,64.669292
380.116385,139,64.734694
389.726352,140,64.80322
420.627709,153,64.890495
386.450968,140,64.965375
415.713247,154,65.048424
353.565596,137,65.193469
593.756525,204,65.292931
346.507742,137,65.369166
375.334586,141,65.442174
414.95176,153,65.522708
376.951613,145,65.592234
350.266823,134,65.707991
341.108176,133,65.781045
423.540979,155,67.587972
514.607939,163,67.66926
380.029649,137,67.742634
406.203629,144,67.820882
642.904383,213,67.934522
610.77857,211,68.043113
610.562904,206,68.131008
548.395996,183,68.207721
359.165196,148,68.279305
352.430109,136,68.35575
600.632913,200,68.45351
563.797373,199,68.555725
523.683152,179,70.453822
397.23398,144,70.523826
457.036926,161,70.615489
